# Rime user dictionary
#@/db_name	pinyin_simp
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	345520
#@/user_id	de2906ef-e74d-4ea7-bed0-6466917abe46
a 	啊	c=1163 d=4.67475 t=345520
bian ma 	编码	c=223 d=3.33628 t=344674
bian mai 	变卖	c=1 d=1 t=11569
bian min 	便民	c=1 d=0.00179994 t=345520
bian pai 	编排	c=3 d=1 t=251877
bian pao 	鞭炮	c=4 d=1 t=326814
bian ping 	扁平	c=2 d=1 t=177347
bian shang 	边上	c=10 d=1 t=329504
bian tao ti 	扁桃体	c=1 d=1 t=209530
bian wei 	变为	c=4 d=1.98511 t=192198
bian xian 	变现	c=1 d=1 t=117890
bian xie 	编写	c=76 d=1.0001 t=305831
bian yi 	编译	c=24 d=1 t=327174
bian yi qi 	编译器	c=3 d=1 t=140017
bian yi xing 	编译型	c=1 d=1 t=91654
bian yu 	便于	c=10 d=1 t=296362
bian yuan 	边缘	c=6 d=1.80769 t=308668
bian yuan yun 	边缘云	c=1 d=1 t=224252
bian zhi 	编制	c=2 d=1 t=272368
bian zhi 	贬值	c=2 d=1 t=272369
bian zhi dai 	编制袋	c=1 d=1 t=258045
bian zi 	辫子	c=1 d=0.1 t=48227
bian zuo 	变做	c=1 d=1 t=196619
biao 	标	c=8 d=1 t=333230
biao 	表	c=833 d=1.04684 t=345240
biao cheng 	标称	c=1 d=1 t=102731
biao da 	表达	c=34 d=1 t=340393
biao da shi 	表达式	c=13 d=1.97531 t=229184
biao dan 	表单	c=110 d=1 t=342634
biao dian 	标点	c=1 d=8.69654e-05 t=345520
biao ge 	表格	c=134 d=1.00031 t=345175
biao geng 	表更	c=1 d=1 t=16089
biao huan 	表换	c=1 d=1 t=198886
biao ji 	标记	c=75 d=2.89335 t=331052
biao ji 	表级	c=1 d=1 t=241756
biao ji cheng 	标记成	c=1 d=1 t=241890
biao jie 	表姐	c=1 d=1 t=183510
biao jie gou 	表结构	c=6 d=1 t=269072
biao li 	表里	c=5 d=1 t=333422
biao liang 	标量	c=1 d=1 t=162646
biao mian 	表面	c=2 d=1 t=329171
biao ming 	表名	c=10 d=1.8781 t=337217
biao ming 	表明	c=1 d=1 t=70410
biao n 	表嗯	c=1 d=1 t=127557
biao pei 	标配	c=2 d=1.99501 t=35293
biao qian 	标签	c=802 d=2.02494 t=344953
biao qian biao 	标签表	c=1 d=1 t=313800
biao qian hua 	标签化	c=2 d=1 t=214242
biao qian lei mu 	标签类目	c=2 d=1 t=284769
biao qian ming 	标签名	c=2 d=1 t=288744
biao qian shang 	标签上	c=1 d=1 t=288229
biao qian shu 	标签树	c=8 d=1 t=288121
biao qian zhi 	标签值	c=3 d=1.99005 t=279327
biao qing 	表情	c=1 d=0.1 t=313377
biao qing bao 	表情包	c=1 d=1 t=313378
biao shang 	表上	c=4 d=1 t=329938
biao she ji 	表设计	c=1 d=1 t=293272
biao sheng 	飙升	c=1 d=1 t=319648
biao shi 	标识	c=84 d=1.09489 t=336122
biao shi 	表示	c=64 d=1 t=342915
biao shi tou 	标识头	c=2 d=1.78663 t=159824
biao shu 	表述	c=1 d=1 t=313393
biao tai 	表态	c=2 d=1.625 t=263599
biao ti 	标题	c=22 d=0.0181234 t=345520
biao ti tou 	标题头	c=1 d=1 t=231553
biao tou 	表头	c=3 d=1.90484 t=316667
biao xian 	表现	c=29 d=1 t=299694
biao xie 	表写	c=1 d=1 t=52604
biao yan 	表演	c=2 d=1 t=209423
biao yang 	表扬	c=3 d=1 t=343204
biao yao 	表要	c=1 d=1 t=256060
biao zhi 	标志	c=4 d=1 t=111503
biao zhong 	表中	c=4 d=1 t=328714
biao zhu 	标注	c=18 d=1.98511 t=334823
biao zhun 	标准	c=49 d=1.00003 t=341949
biao zhun di zhi 	标准地址	c=1 d=1 t=85686
biao zhun hua 	标准化	c=22 d=1 t=291661
biao zhun jian 	标准件	c=2 d=1.85642 t=196289
bie 	别	c=107 d=0.794055 t=345520
bie 	憋	c=1 d=1 t=29666
bie bie 	别别	c=2 d=1 t=305929
bie chu 	别处	c=1 d=1 t=51640
bie de 	别的	c=20 d=1 t=333416
bie huang 	别慌	c=1 d=1 t=28788
bie ming 	别名	c=3 d=1 t=118642
bie ren 	别人	c=22 d=1 t=322722
bin 	彬	c=2 d=1 t=132531
bin 	斌	c=1 d=1 t=34188
bin 	滨	c=2 d=1.35701 t=3921
bin 	鬓	c=1 d=1 t=284328
bin guan 	宾馆	c=1 d=1 t=130121
bin jiang 	滨江	c=6 d=1 t=324570
bin lin 	濒临	c=1 d=1 t=98942
bin peng 	宾朋	c=1 d=1 t=153989
bin wei 	濒危	c=1 d=1 t=98973
bing 	兵	c=1 d=1 t=3718
bing 	冰	c=5 d=1 t=242580
bing 	并	c=526 d=1.07154 t=345490
bing 	病	c=14 d=1 t=329891
bing 	饼	c=12 d=1.98511 t=271914
bing bu neng 	并不能	c=1 d=1 t=308681
bing bu shi 	并不是	c=2 d=1 t=251184
bing cha 	并查	c=2 d=1.02375 t=27348
bing cheng 	秉承	c=1 d=1 t=21552
bing cun 	并存	c=1 d=1 t=300730
bing du 	病毒	c=5 d=1 t=287739
bing du shi 	病毒式	c=1 d=1 t=187996
bing dui 	并对	c=2 d=1 t=274226
bing fa 	并发	c=14 d=1 t=327135
bing fang 	病房	c=1 d=1 t=125326
bing fei 	并非	c=2 d=0.00677172 t=345520
bing ji 	并集	c=1 d=1 t=206754
bing ji ling 	冰激凌	c=1 d=1 t=23231
bing jia 	病假	c=10 d=1 t=269542
bing jun 	病菌	c=1 d=1 t=327267
bing li 	病例	c=3 d=1 t=126041
bing lie 	并列	c=1 d=1 t=303117
bing mei you 	并没有	c=1 d=1 t=132562
bing qian 	并前	c=1 d=1 t=301892
bing qie 	并且	c=64 d=1 t=328158
bing que ding 	并确定	c=1 d=1 t=171454
bing ren 	病人	c=2 d=1 t=185808
bing shi 	冰室	c=1 d=1 t=229567
bing shi 	病史	c=2 d=1.99501 t=281227
bing shui 	冰水	c=1 d=1 t=271424
bing tong 	病痛	c=1 d=1 t=132255
bing xiang 	冰箱	c=11 d=1 t=341665
bing xing 	并行	c=12 d=3.25791 t=327145
bing zai 	并在	c=1 d=1 t=160253
bo 	剥	c=3 d=1 t=131421
bo 	博	c=4 d=0.000271921 t=345520
bo 	拨	c=4 d=1 t=311655
bo 	波	c=4 d=0.1 t=339495
bo ba 	波霸	c=1 d=1 t=202286
bo bao 	播报	c=5 d=1.98034 t=261865
bo bo 	伯伯	c=1 d=1 t=326596
bo cai 	菠菜	c=1 d=1 t=271909
bo ci 	拨次	c=5 d=1 t=125211
bo ci 	波次	c=34 d=1.99005 t=282877
bo ci hao 	拨次号	c=2 d=1.97531 t=75318
bo da 	拨打	c=1 d=1 t=121571
bo dong 	拨动	c=1 d=1 t=231445
bo dong 	波动	c=11 d=1.89137 t=318130
bo fang 	播放	c=3 d=1.00028 t=181840
bo hai 	渤海	c=1 d=1 t=55032
bo hui 	驳回	c=2 d=1 t=122272
bo ke 	博客	c=12 d=0.227305 t=345520
bo ke 	播客	c=4 d=1 t=203021
bo li 	剥离	c=4 d=1 t=306793
bo li 	玻璃	c=5 d=1.44933 t=306494
bo ruo 	薄弱	c=1 d=1 t=238803
bo wu guan 	博物馆	c=1 d=1 t=345468
bo zi 	脖子	c=7 d=1 t=275908
bu 	不	c=1887 d=3.61109 t=345520
bu 	卜	c=1 d=1 t=15165
bu 	布	c=4 d=1 t=329381
bu 	步	c=16 d=0.1 t=339489
bu 	簿	c=1 d=1 t=227486
bu 	补	c=82 d=1 t=330286
bu 	部	c=13 d=1.00005 t=342616
bu an 	不安	c=0 d=0.1 t=306000
bu ben 	不本	c=1 d=1 t=333569
bu bi 	不必	c=8 d=3.73323 t=183772
bu bian 	不变	c=31 d=1 t=340424
bu bian liang 	不变量	c=1 d=1 t=185402
bu biao 	不表	c=1 d=1 t=323094
bu bu 	补补	c=2 d=1 t=253481
bu bu bu 	不不不	c=1 d=1 t=273324
bu cha 	不差	c=1 d=1 t=214510
bu chang 	不长	c=1 d=1 t=284831
bu chang 	补偿	c=5 d=1 t=103993
bu chao guo 	不超过	c=1 d=1 t=237735
bu cheng 	不成	c=2 d=1 t=287853
bu chi 	不吃	c=0 d=0.1 t=287731
bu chong 	补充	c=57 d=0.00704808 t=345520
bu chu 	不出	c=5 d=1 t=252417
bu chu lai 	不出来	c=5 d=1 t=324953
bu chu li 	不处理	c=2 d=1 t=159360
bu ci 	不次	c=1 d=1 t=143465
bu ci xin ku 	不辞辛苦	c=1 d=1 t=300662
bu cun 	不存	c=1 d=1 t=42557
bu cuo 	不错	c=36 d=0.00471227 t=345520
bu cuo de 	不错的	c=1 d=0.0473589 t=345520
bu da 	不大	c=34 d=1 t=333483
bu da suan 	不打算	c=1 d=1 t=39556
bu dai 	不带	c=4 d=1 t=273293
bu dan 	不但	c=1 d=1 t=113585
bu dang 	不当	c=1 d=1 t=116991
bu dao 	不到	c=111 d=1.76322 t=345362
bu dao ni 	不到你	c=1 d=1 t=305264
bu de 	不得	c=5 d=1.00175 t=322547
bu de bu 	不得不	c=3 d=0.1 t=202926
bu de bu zuo 	不得不做	c=1 d=1 t=202927
bu de le 	不得了	c=2 d=1 t=141343
bu de liao 	不得了	c=10 d=1 t=345289
bu de xing 	不得行	c=1 d=1 t=313397
bu de yi 	不得已	c=2 d=1 t=164315
bu diao 	不掉	c=2 d=1 t=164595
bu diao 	步调	c=0 d=0.1 t=154197
bu diao yi zhi 	步调一致	c=1 d=1 t=154198
bu ding 	不定	c=4 d=1.0752 t=250056
bu ding 	补丁	c=3 d=0.00538036 t=345520
bu dong 	不动	c=0 d=0.1 t=288321
bu dong 	不懂	c=18 d=1 t=313117
bu dou 	布兜	c=1 d=1 t=147539
bu du 	不读	c=1 d=1 t=14650
bu duan 	不断	c=21 d=1.5886 t=300135
bu dui 	不对	c=22 d=1 t=320931
bu duo 	不多	c=10 d=1 t=336499
bu fa 	步伐	c=1 d=1 t=289079
bu fen 	部分	c=321 d=0.000884932 t=345520
bu fu 	不服	c=2 d=1 t=338586
bu fu ze ren 	不负责任	c=1 d=1 t=185740
bu gan 	不敢	c=18 d=1 t=320313
bu gao 	不搞	c=2 d=0.00119453 t=345520
bu gao 	不高	c=6 d=1 t=294470
bu gei 	不给	c=4 d=1 t=319529
bu gou 	不够	c=20 d=1 t=306586
bu gou yong 	不够用	c=1 d=1 t=275369
bu guan 	不管	c=32 d=1 t=324325
bu gui 	不归	c=2 d=1 t=88056
bu gui 	不贵	c=1 d=1 t=324063
bu guo 	不过	c=93 d=0.00458484 t=345520
bu hai shi 	不还是	c=2 d=1 t=42357
bu han 	不含	c=22 d=1 t=336707
bu hao 	不好	c=27 d=1 t=316490
bu hao chi 	不好吃	c=1 d=1 t=31615
bu hao shuo 	不好说	c=1 d=1 t=42127
bu hao zhao 	不好找	c=1 d=1 t=48781
bu he shi 	不合适	c=2 d=0.000992781 t=345520
bu huai 	不坏	c=1 d=1 t=277709
bu huang 	不慌	c=8 d=1 t=267790
bu hui 	不会	c=184 d=1 t=345443
bu hui 	不回	c=1 d=1 t=97416
bu hui ba 	不会吧	c=1 d=1 t=77795
bu hui bian 	不会变	c=1 d=1 t=185430
bu hui shi 	不会是	c=1 d=1 t=164218
bu huo 	不活	c=1 d=0.1 t=270809
bu ji 	不及	c=0 d=0.1 t=240881
bu ji 	不急	c=10 d=1 t=319097
bu ji 	不计	c=1 d=1 t=323080
bu ji 	补集	c=2 d=1.81058 t=206807
bu jia 	不加	c=1 d=1 t=322744
bu jian 	不见	c=3 d=1 t=337615
bu jin 	不仅	c=7 d=1.00001 t=299637
bu jing 	不经	c=1 d=1 t=216535
bu jing guo 	不经过	c=1 d=1 t=119154
bu jiu 	不久	c=5 d=1 t=315399
bu jiu 	不就	c=2 d=1 t=47147
bu jiu 	补救	c=1 d=1 t=47733
bu jiu shi 	不就是	c=2 d=1 t=289615
bu ju 	布局	c=7 d=1.03881 t=219037
bu jun 	不均	c=2 d=1 t=246829
bu ka 	补卡	c=1 d=1 t=306605
bu kai 	不开	c=1 d=1 t=13917
bu kan 	不看	c=2 d=1 t=269707
bu kao pu 	不靠谱	c=1 d=1 t=263577
bu ke 	不可	c=4 d=1 t=225239
bu ke 	补课	c=1 d=1 t=94333
bu ke bian 	不可变	c=1 d=1 t=185452
bu ke jian 	不可见	c=3 d=1 t=275646
bu ke neng 	不可能	c=2 d=0.00117675 t=345520
bu ke qi 	不客气	c=1 d=1 t=225333
bu ke si yi 	不可思议	c=1 d=1 t=104818
bu ke yong 	不可用	c=4 d=1 t=273942
bu kuai 	不快	c=0 d=0.1 t=308794
bu kui 	不愧	c=2 d=1 t=305574
bu lai 	不来	c=5 d=1 t=245946
bu lan di 	布兰迪	c=1 d=1 t=140032
bu lao 	不老	c=0 d=0.1 t=196021
bu le 	不乐	c=1 d=1 t=284213
bu leng 	不冷	c=0 d=0.1 t=341904
bu liang 	不良	c=2 d=1 t=247955
bu liao 	不了	c=17 d=1 t=333621
bu liao 	不料	c=1 d=0.00227676 t=345520
bu liao liao zhi 	不了了之	c=1 d=1 t=342388
bu man yi 	不满意	c=1 d=1 t=293314
bu mang 	不忙	c=2 d=1 t=323868
bu mei 	不美	c=1 d=1 t=274139
bu men 	部门	c=38 d=1.00009 t=344357
bu neng 	不能	c=191 d=0.017249 t=345520
bu neng yao 	不能要	c=1 d=1 t=134515
bu neng yong 	不能用	c=1 d=1 t=318240
bu pa 	不怕	c=4 d=0.1 t=270317
bu pang 	不胖	c=1 d=1 t=2305
bu qi 	不起	c=1 d=1 t=300854
bu qi 	不齐	c=3 d=1 t=299923
bu qi 	补齐	c=2 d=1 t=258965
bu qian 	补签	c=1 d=1 t=30176
bu qian nu 	不迁怒	c=2 d=1.99005 t=312794
bu qiang 	不强	c=1 d=1 t=271535
bu qing 	不清	c=5 d=1 t=334246
bu qu 	不去	c=14 d=1 t=345502
bu quan 	不全	c=2 d=1 t=110688
bu quan 	补全	c=31 d=1.00682 t=327416
bu que 	补缺	c=1 d=0.1 t=138073
bu que ding 	不确定	c=2 d=1 t=252509
bu ran 	不然	c=57 d=1 t=322735
bu rang 	不让	c=5 d=1 t=182937
bu ren 	不忍	c=1 d=1 t=304511
bu rong yi 	不容易	c=9 d=1 t=341894
bu ru 	不如	c=10 d=1 t=290794
bu run 	不润	c=1 d=1 t=166616
bu shan 	不善	c=3 d=1 t=203795
bu shan shang 	不山上	c=1 d=1 t=53450
bu shang 	不上	c=29 d=1 t=317084
bu shang 	补上	c=4 d=1 t=319615
bu shao 	不少	c=41 d=0.0939493 t=345520
bu shao qian 	不少钱	c=1 d=1 t=203015
bu she 	不舍	c=1 d=1 t=228056
bu shi 	不时	c=3 d=1 t=326720
bu shi 	不是	c=386 d=0.000416188 t=345520
bu shi 	不适	c=2 d=1.56836 t=247569
bu shi ying 	不适应	c=1 d=6.67204e-05 t=345520
bu shi yong 	不是用	c=1 d=0.000137073 t=345520
bu shou 	不受	c=8 d=1 t=342037
bu shu 	部署	c=150 d=1.92774 t=339560
bu shuo 	不说	c=5 d=1.99005 t=213530
bu song 	不送	c=1 d=1 t=278087
bu suan 	不算	c=10 d=1 t=329266
bu sui 	不随	c=1 d=1 t=120543
bu tai 	不太	c=47 d=1 t=336598
bu tai xing 	不太行	c=1 d=1 t=196660
bu tan 	不谈	c=1 d=1 t=42689
bu tie 	补贴	c=20 d=1 t=340143
bu ting 	不停	c=0 d=0.1 t=337862
bu tong 	不同	c=224 d=1 t=342002
bu tong 	不通	c=2 d=1.96079 t=87436
bu tong dian 	不同点	c=2 d=1 t=308601
bu tong ming 	不同名	c=1 d=1 t=319521
bu tong ren 	不同人	c=2 d=1.00064 t=146869
bu tong wei zhi 	不同位置	c=1 d=1 t=146868
bu tong yuan 	不同源	c=1 d=1 t=183836
bu tui 	补推	c=1 d=1 t=27734
bu tuo 	不妥	c=1 d=1 t=316479
bu wan 	不完	c=3 d=1 t=310630
bu wan 	不玩	c=1 d=1 t=318064
bu wei 	不为	c=4 d=1 t=266527
bu wei 	部位	c=3 d=1 t=266528
bu wen 	不稳	c=1 d=1 t=308819
bu wen ding 	不稳定	c=1 d=1 t=120911
bu xi 	补习	c=1 d=1 t=30097
bu xia 	不下	c=2 d=1 t=315165
bu xian 	不嫌	c=1 d=1 t=300785
bu xian 	不限	c=1 d=1 t=127101
bu xian 	布线	c=2 d=1.98511 t=43197
bu xian zhi 	不限制	c=1 d=1 t=121873
bu xiang 	不想	c=12 d=1 t=302767
bu xiao 	不小	c=3 d=1 t=172996
bu xiao xin 	不小心	c=2 d=1 t=317564
bu xie 	不写	c=4 d=1 t=250767
bu xie 	不谢	c=1 d=1 t=123962
bu xin 	不信	c=1 d=1 t=325030
bu xing 	不幸	c=1 d=1 t=317713
bu xing 	不行	c=52 d=0.0502874 t=345520
bu xing jie 	步行街	c=1 d=1 t=52534
bu xu 	不需	c=7 d=1 t=312861
bu xu yao 	不需要	c=18 d=1 t=336987
bu yao 	不要	c=248 d=1.00005 t=345414
bu yao huang 	不要慌	c=3 d=1 t=176340
bu yao le 	不要了	c=1 d=1 t=299598
bu yao qian 	不要钱	c=1 d=1 t=9689
bu yao qu 	不要去	c=1 d=1 t=328032
bu ye 	不也	c=2 d=1 t=141357
bu ye you 	不也有	c=1 d=1 t=181308
bu yi 	不易	c=4 d=1 t=299766
bu yi ding 	不一定	c=12 d=1 t=322929
bu yi yang 	不一样	c=1 d=1 t=249179
bu yi zhi 	不一致	c=5 d=1 t=342239
bu yin gai 	不因改	c=1 d=1 t=36907
bu ying 	不应	c=1 d=1 t=32362
bu ying gai 	不应该	c=4 d=1 t=214916
bu yong 	不用	c=213 d=0.027233 t=345520
bu yong xie 	不用谢	c=1 d=1 t=59760
bu yuan 	不愿	c=1 d=1 t=72715
bu yuan 	不远	c=1 d=1 t=266546
bu yuan 	补元	c=2 d=1.99501 t=304029
bu yuan yi 	不愿意	c=3 d=1 t=284203
bu yue 	不约	c=1 d=1 t=89828
bu zai 	不再	c=1 d=8.23115e-06 t=345520
bu zai 	不在	c=25 d=1.00022 t=320737
bu zai shi 	不再是	c=2 d=0.000166698 t=345520
bu zai yi 	不在意	c=1 d=1 t=270959
bu zao 	不造	c=3 d=1 t=328139
bu zen me 	不怎么	c=1 d=1 t=91233
bu zhao 	不着	c=5 d=1 t=270978
bu zhi 	不值	c=0 d=0.1 t=310625
bu zhi 	不止	c=8 d=1.99501 t=333538
bu zhi 	不知	c=2 d=0.000176005 t=345520
bu zhi 	布置	c=1 d=1 t=208933
bu zhi chi 	不支持	c=3 d=1 t=250538
bu zhi dao 	不知道	c=74 d=0.313486 t=345520
bu zhi de 	不值得	c=1 d=1 t=310626
bu zhi yu 	不至于	c=9 d=1 t=318044
bu zhou 	步骤	c=22 d=1 t=343678
bu zhu 	不住	c=7 d=1.91765 t=328975
bu zhuan 	不转	c=1 d=1 t=101769
bu zhuan ye 	不专业	c=1 d=1 t=266530
bu zhun 	不准	c=4 d=1.79852 t=340132
bu zhuo 	捕捉	c=1 d=1 t=159145
bu zu 	不足	c=8 d=1 t=314738
bu zuo 	不作	c=1 d=1 t=204775
bu zuo 	不做	c=6 d=1 t=251589
ca 	擦	c=24 d=0.25284 t=345520
ca diao 	擦掉	c=1 d=1 t=50612
ca pi gu 	擦屁股	c=1 d=1 t=97591
cai 	彩	c=1 d=1 t=326735
cai 	才	c=196 d=0.877962 t=345520
cai 	猜	c=18 d=1 t=314878
cai 	菜	c=19 d=1 t=332356
cai 	蔡	c=1 d=1 t=17642
cai 	裁	c=15 d=1 t=282267
cai 	财	c=1 d=1 t=3721
cai 	踩	c=3 d=1 t=306990
cai 	采	c=1 d=1 t=142575
cai bao 	财报	c=7 d=1.00001 t=342244
cai ce 	猜测	c=6 d=1 t=304977
cai dai 	彩带	c=2 d=1.91393 t=157644
cai dan 	菜单	c=215 d=2.4074 t=344423
cai dao 	踩到	c=1 d=1 t=34993
cai gou 	采购	c=6 d=1 t=298103
cai hao 	才好	c=2 d=1 t=281775
cai hong 	彩虹	c=2 d=1 t=158935
cai hong se 	才红色	c=1 d=1 t=158934
cai hua 	采花	c=1 d=1 t=39598
cai hui 	才会	c=4 d=1 t=335276
cai hui 	蔡慧	c=10 d=1 t=333788
cai ji 	采集	c=227 d=0.212248 t=345520
cai ji biao 	采集表	c=2 d=1 t=268290
cai ji dao 	采集到	c=1 d=1 t=197065
cai ji duan 	采集端	c=1 d=1 t=88763
cai ji fu wu 	采集服务	c=1 d=1 t=253409
cai jian 	裁剪	c=3 d=0.0244775 t=345520
cai jun che 	才军车	c=1 d=1 t=121092
cai keng 	踩坑	c=1 d=1 t=240608
cai liao 	材料	c=20 d=1 t=341861
cai liao fei 	材料费	c=1 d=1 t=28867
cai na 	采纳	c=2 d=1 t=178860
cai neng 	才能	c=55 d=1 t=344168
cai niao 	菜鸟	c=26 d=1.00383 t=280079
cai pin 	菜品	c=2 d=1.956 t=188208
cai qu 	采取	c=5 d=1 t=184809
cai ren 	裁人	c=1 d=1 t=51091
cai se 	彩色	c=1 d=1 t=332985
cai shen 	财神	c=1 d=1 t=4674
cai shi 	才是	c=1 d=1 t=36559
cai shi chang 	菜市场	c=2 d=1 t=252961
cai si 	踩死	c=2 d=1.89137 t=270944
cai suan 	才算	c=1 d=1 t=329327
cai wu 	财务	c=77 d=2.39055 t=342274
cai xi 	菜系	c=1 d=1 t=320490
cai xian 	财险	c=1 d=1 t=122448
cai xiang 	猜想	c=1 d=1 t=67504
cai xing 	才行	c=8 d=1 t=339112
cai yi 	才艺	c=2 d=1 t=279761
cai yong 	采用	c=67 d=0.0536326 t=345520
cai you 	才有	c=2 d=1 t=318725
cai yu 	彩玉	c=32 d=1 t=339847
cai yuan 	裁员	c=4 d=1.0016 t=43428
cai yun 	彩云	c=1 d=1 t=37042
cai yun 	才云	c=36 d=1 t=227801
can 	参	c=12 d=1 t=292805
can 	惨	c=27 d=1 t=316136
can 	餐	c=7 d=3.79388 t=293426
can bu 	餐布	c=1 d=1 t=267764
can dai 	惨带	c=1 d=1 t=233758
can guan 	参观	c=5 d=1.99501 t=294333
can hui 	参会	c=2 d=1 t=141384
can jia 	参加	c=72 d=0.149569 t=345520
can jian 	参见	c=30 d=1 t=331294
can kao 	参考	c=61 d=0.009285 t=345520
can kao dian 	参考点	c=1 d=1 t=97787
can ku 	残酷	c=1 d=1 t=175776
can kui 	惭愧	c=1 d=1 t=208609
can kui you jia 	惭愧有加	c=1 d=1 t=162365
can sai 	参赛	c=6 d=1.81465 t=340430
can shu 	参数	c=288 d=0.421052 t=345520
can shu ming 	参数名	c=1 d=1 t=156053
can xia 	参下	c=2 d=1 t=321923
can yin 	餐饮	c=3 d=1 t=328079
can yu 	参与	c=83 d=1 t=308071
can yu ren 	参与人	c=3 d=1.66698 t=96958
can zhao 	参照	c=18 d=7.15582e-05 t=345520
can zhuo 	餐桌	c=3 d=1 t=106067
cang 	仓	c=12 d=1 t=303952
cang 	舱	c=0 d=0.1 t=212693
cang 	藏	c=4 d=1 t=258430
cang bi 	仓壁	c=1 d=1 t=36720
cang chu 	仓储	c=4 d=1 t=259953
cang cu 	仓促	c=1 d=1 t=127489
cang de 	仓的	c=1 d=1 t=311033
cang guan 	仓管	c=1 d=1.06079 t=111834
cang guan yuan 	仓管员	c=1 d=1 t=111835
cang ji xin cun 	仓基新村	c=1 d=1 t=270901
cang ku 	仓库	c=95 d=1.90484 t=246898
cang sang 	沧桑	c=1 d=1 t=189354
cang shan 	苍山	c=3 d=2.94624 t=52566
cang shu 	藏书	c=1 d=1 t=321297
cang ying 	苍蝇	c=1 d=1 t=213487
cang zai 	藏在	c=1 d=1 t=208545
cao 	操	c=6 d=1 t=268408
cao 	槽	c=1 d=1 t=59164
cao 	草	c=7 d=1 t=310999
cao ben 	草本	c=1 d=1 t=92191
cao dan 	操蛋	c=2 d=1 t=44964
cao gao 	草稿	c=1 d=1 t=189743
cao o 	草哦	c=1 d=1 t=308255
cao pan 	操盘	c=1 d=1 t=239011
cao xin 	操心	c=2 d=1 t=230728
cao zhi guo ji 	操之过急	c=1 d=1 t=52620
cao zuo 	操作	c=883 d=1 t=345410
cao zuo de 	操作的	c=1 d=1 t=253041
cao zuo jian 	操作件	c=1 d=1 t=280874
cao zuo qian 	操作前	c=1 d=1 t=66443
cao zuo ri 	操作日	c=8 d=1.99005 t=236918
cao zuo xing 	操作性	c=1 d=1 t=172460
cao zuo yuan 	操作员	c=1 d=1 t=197478
ce 	侧	c=119 d=1 t=344859
ce 	册	c=2 d=1 t=337439
ce 	测	c=50 d=1 t=295922
ce 	策	c=1 d=1 t=32626
ce ce 	测测	c=2 d=1 t=87194
ce chu 	测出	c=1 d=1 t=169570
ce guo 	测过	c=2 d=0.000116223 t=345520
ce hu 	测胡	c=1 d=1 t=78905
ce kai 	测开	c=2 d=1.97045 t=113687
ce li 	侧里	c=1 d=1 t=184546
ce liang 	测量	c=3 d=1 t=302227
ce lue 	策略	c=15 d=1.93707 t=326355
ce lv 	侧率	c=1 d=1 t=21433
ce mian 	侧面	c=3 d=1 t=298192
ce she 	侧设	c=2 d=1 t=180576
ce shi 	测试	c=595 d=0.895009 t=345520
ce shi huan jing 	测试环境	c=2 d=1 t=89107
ce shi ji 	测试集	c=1 d=1 t=183920
ce shi ku 	测试库	c=3 d=1.50232 t=88934
ce shi zhong 	测试中	c=1 d=1 t=316975
ce shuo 	测说	c=2 d=1 t=179479
ce su 	测速	c=1 d=1 t=58910
ce suan 	测算	c=7 d=1 t=330131
ce suo 	厕所	c=1 d=1 t=266354
ce tong tong 	侧通通	c=1 d=1 t=221560
ce zhong 	侧重	c=4 d=1 t=241169
ce zhong yu 	侧重于	c=2 d=1 t=241245
ceng 	层	c=130 d=1 t=329911
ceng 	曾	c=2 d=0.0120946 t=345520
ceng 	蹭	c=6 d=1 t=299606
ceng ceng 	层层	c=9 d=0.1 t=326435
ceng ceng di jin 	层层递进	c=1 d=1 t=267478
ceng ceng die die 	层层叠叠	c=1 d=1 t=326436
ceng ci 	层次	c=8 d=1 t=324108
ceng dao 	蹭到	c=1 d=1 t=269683
ceng ding 	层定	c=1 d=1 t=231847
ceng fan 	蹭饭	c=1 d=1 t=143748
ceng ji 	层级	c=9 d=1 t=281367
ceng jing 	曾经	c=1 d=1 t=47034
ceng m 	层呒	c=1 d=1 t=57487
ceng mian 	层面	c=17 d=1 t=299354
ceng shu 	层数	c=1 d=1 t=246731
cha 	叉	c=4 d=1 t=183363
cha 	差	c=61 d=1 t=322007
cha 	插	c=4 d=1 t=155903
cha 	查	c=137 d=2.40698 t=342546
cha 	茶	c=2 d=1 t=202283
cha bai dao 	茶百道	c=2 d=1.02612 t=113243
cha bei 	茶杯	c=1 d=1 t=153460
cha bie 	差别	c=11 d=1 t=341334
cha bu duo 	差不多	c=48 d=1 t=341347
cha can ting 	茶餐厅	c=1 d=1 t=203508
cha cha 	查查	c=16 d=1.69768 t=324692
cha chao 	查超	c=2 d=1 t=41937
cha cuo 	差错	c=2 d=1.97531 t=162751
cha dan 	查单	c=8 d=1 t=129815
cha dao 	插到	c=1 d=1 t=14713
cha dao 	查到	c=13 d=1 t=341322
cha dian 	差点	c=1 d=1 t=30936
cha dian er 	差点儿	c=1 d=1 t=56523
cha e 	差额	c=2 d=1 t=151720
cha ge 	查个	c=1 d=1 t=250590
cha jian 	插件	c=33 d=1 t=344362
cha jing 	查经	c=1 d=1 t=99384
cha ju 	差距	c=2 d=1 t=217519
cha jue 	察觉	c=1 d=1 t=205570
cha kan 	查看	c=199 d=1.36492 t=345244
cha le 	差了	c=1 d=1 t=242445
cha le 	查了	c=1 d=1 t=16165
